state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
8,16,0,0,0,0,0,0,389.12323
9,16,0,0,0,0,0,0,396.188109
10,16,0,0,1,0,0,3,420.046684
10,15,1,0,0,0,0,0,418.047567
11,15,1,0,0,0,1,3,443.531369
11,14,1,0,0,1,0,0,469.315974
12,14,1,0,1,0,0,3,495.546498
12,13,1,1,0,0,0,0,477.492661
13,13,0,0,0,1,1,1,450.362348
12,13,0,1,0,0,0,2,423.672269
12,14,0,0,1,0,0,3,448.643945
12,13,0,1,0,0,0,3,474.805696
12,12,0,0,1,0,0,1,497.661118
11,12,0,0,0,1,1,0,473.921794
11,12,0,0,0,1,1,1,530.592826
10,12,1,0,0,0,0,0,548.412685
12,12,0,0,1,0,0,3,452.418074
12,11,0,1,0,0,0,3,432.186726
12,10,1,0,0,0,0,3,418.097178
12,9,1,0,0,0,0,0,402.856931
13,9,1,0,0,1,0,0,386.608331
14,9,1,0,0,0,0,0,373.741087
15,9,1,0,0,1,0,2,389.663977
15,10,1,0,0,0,0,2,436.493497
15,11,0,0,0,0,1,1,411.948964
14,11,0,0,0,0,0,1,433.075176
13,11,0,0,0,0,1,1,453.12062
12,11,0,1,0,0,0,2,474.114695
12,12,0,0,1,0,0,2,450.058271
12,14,0,0,1,0,0,2,446.373995
12,15,1,0,0,0,0,1,420.727685
11,14,1,0,0,1,0,2,420.792703
11,15,1,0,0,0,1,0,444.033575
12,15,1,0,0,0,0,0,408.56381
13,15,1,0,0,1,1,1,433.148861
12,15,1,0,0,0,0,2,393.340682
12,16,1,1,1,0,0,2,398.365273
12,17,1,0,0,0,0,1,420.369841
11,17,0,0,0,1,0,1,389.842282
10,17,0,0,0,0,0,2,399.059168
10,18,1,0,0,0,0,1,363.525023
9,18,1,0,0,0,0,1,344.83407
8,18,1,1,0,0,0,3,363.799656
8,17,1,0,0,0,0,3,383.447872
8,16,1,0,0,0,0,3,385.255885
8,15,1,0,0,0,0,0,406.075969
